name,azizsupermrkt,chittagong,dhaka,sylhet,banglabazar,ecommerce,id,reference,Price
বার্ণিক তপন সিংহ (বিশেষ সংখ্যা ২০২৩),0,0,1,0,0,0,77022,12110021,500
A Flowering Tree & Other Indian Oral Folktales,0,0,22,0,0,0,67690,1.05214E+11,500
বাতিঘর বুকমার্ক লিওনার্দো দ্য ভিঞ্চি,0,185,49,0,0,0,836,1,20
Astrotherapy: Astrology and the Realization of the Self,0,0,0,0,0,0,13104,140190023,500
Plays,0,0,0,0,0,0,64229,140440968,400
Candide or Optimism (Penguin Classics),0,0,0,0,0,0,15283,140455108,598
দেবদেবীর উৎস সন্ধানে,0,0,0,1,0,0,46241,187665929,400
Teaching Islam,0,0,0,0,0,0,55512,195152247,1998
jim corbett tree tops,0,2,0,0,0,0,50935,195627210,310
Ghazals of ghalib,0,0,0,0,0,0,39085,195635671,790
Flowers of the Himalaya,0,0,0,0,0,0,50923,195641876,1390
Family law vol 1,0,0,0,1,0,0,38945,198067909,700
Beyond the Boundaries of Bollywood ( the many forms of hindi cinema),0,0,0,1,0,0,36757,19806926,1390
বাতিঘর বুকমার্ক পল সেজান,0,345,0,0,0,0,837,2,20
বাতিঘর বুকমার্ক পিয়ের রনোয়ার,0,182,34,0,0,0,838,3,20
বাতিঘর বুকমার্ক রাফায়েল,0,0,63,-1,0,0,839,4,20
My Father's Dragon,0,0,0,0,0,0,47164,440421217,398
Mythology,0,0,1,0,0,0,64189,451628039,880
বাতিঘর বুকমার্ক ভিনসেন্ট ভ্যান গখ,0,252,85,0,0,0,840,5,20
"Sari (Styles, Patterns, History, Techniques)",0,0,0,0,0,0,45218,500283788,3800
Islamic Art and Architecture: From Isfahan to the Taj Mahal,0,0,0,0,0,0,45205,500511004,8000
মাটির পাখি আলোর ডানা,0,13,0,0,0,0,44014,5.0544E+12,150
Moliere: A Theatrical Life,0,0,0,0,0,0,50451,521782813,5000
THE  RED BADGE  OF COURAGE,0,0,0,1,0,0,40572,553210114,350
CANDIIDE  VOLTAIRE,0,0,0,1,0,0,40333,553211668,350
THE  IDIOT,0,0,0,0,0,0,40335,553213520,598
The Gods Themselves,0,0,0,0,0,0,12464,553288105,798
Foundation and Empire,0,0,0,1,0,0,12445,553293370,798
The Naked Sun,0,0,0,1,0,0,12442,5532933975,798
Identity,0,0,0,0,0,0,11486,571196357,998
বাতিঘর বুকমার্ক রেমব্রন্ট,0,567,34,0,0,0,841,6,20
বাতিঘর বুকমার্ক জোহানস্‌ ভারমির,0,42,3,0,0,0,842,7,20
The Economist January 07th -13th 2023,0,1,0,0,0,0,75320,07148602674x,650
Jughead's Double Digest - No 143,0,0,0,0,0,0,21932,71896469523,500
Time (Special),0,0,0,0,0,0,72384,73361440921,580
Becowulf,0,0,0,2,0,0,36785,764144499,225
The Secrets Of Droon : Into the Land Of the Lost - 7,0,0,0,0,0,0,64997,78073002993,350
অম্লমধুর শ্রুতি নাটক সংগ্রহ,0,1,0,0,0,0,75624,79500000009,300
ফাতাওয়ায়ে আলমগীরী,0,0,0,0,0,0,69754,7957564770,850
বাতিঘর বুকমার্ক পাবলো পিকাসো,0,160,76,0,0,0,843,8,20
Reader in Urban Sociology,0,0,1,0,0,0,61623,863111513,500
শালমহুয়ার ভুবনচন্দ্র,0,0,0,0,0,0,8724,86311151323,140
বাতিঘর বুকমার্ক মাইকেলেঞ্জেলো,0,341,121,0,0,0,844,9,20
জেনেভায় বঙ্গবন্ধু,0,0,2,0,0,0,69741,090754617x,200
"Frontline June 17, 2022",0,0,0,0,0,0,69131,9701710,250
ভ্রমণ ৫ জুন ২০২২,0,1,0,0,0,0,69127,971888501,60
"ভ্রমণ (বিশেষ গ্রীষ্ম সংখ্যা, এপ্রিল ২০২২)",0,0,0,0,0,0,64172,971888502,100
ভ্রমণ জুলাই ২০২২,0,0,1,0,0,0,70708,971888503,320
নারী ঔপন্যাসিক সংখ্যা (শারদীয় ১৪২৫),0,0,0,0,0,0,37127,97693,900
রলাঁ বার্ত,0,0,3,0,0,0,37117,976930,600
কথাসাহিত্য জ্যৈষ্ঠ ১৮২৯,0,0,0,0,0,0,69177,9777132,50
অগ্রন্থিত রচনা,0,0,0,0,0,0,38174,9.78938E+12,350
ভারতের ঐতিহ্যময় বস্ত্রশিল্প (অতীত থেকে বর্তমান),0,0,2,0,0,0,74963,9.78938E+12,800
